jarvis id,jarvis band structure (BG),"preds band structure (BG, Direc BG, VBM, CBM)"
JVASP-76598,[0.902999997138977],"[1.6072587966918945, 1.7404286861419678, -5.994490146636963, -4.38904333114624]"
JVASP-76341,[0.0],"[0.012044906616210938, 0.020417451858520508, -4.611176013946533, -4.558187484741211]"
JVASP-76604,[2.997999668121338],"[2.9265544414520264, 2.951436758041382, -7.800077438354492, -4.879950046539307]"
JVASP-76342,[0.9390000104904175],"[4.034147262573242, 4.213190078735352, -8.109030723571777, -4.0734944343566895]"
JVASP-76608,[2.559999942779541],"[4.358954906463623, 4.574977874755859, -6.503354549407959, -2.1389288902282715]"
JVASP-60237,[0.0],"[0.027574539184570312, 0.056906938552856445, -4.3883585929870605, -4.35980224609375]"
JVASP-76343,[0.08599996566772461],"[1.1185171604156494, 1.341195821762085, -5.4158549308776855, -4.2782511711120605]"
JVASP-76609,[1.3650000095367432],"[3.2902398109436035, 3.7544522285461426, -7.282477378845215, -4.034978866577148]"
JVASP-60390,[1.1019999980926514],"[1.816230297088623, 1.8280208110809326, -5.521727085113525, -3.707061529159546]"
JVASP-6145,[0.0],"[0.05745565891265869, 0.09250903129577637, -4.845561504364014, -4.797820568084717]"
JVASP-726,[0.0],"[0.10976839065551758, 0.18641126155853271, -5.249185562133789, -5.1052470207214355]"
JVASP-76344,[2.2760000228881836],"[6.773327350616455, 6.797981262207031, -8.503034591674805, -1.739508867263794]"
JVASP-76611,[4.689000129699707],"[5.61087703704834, 5.803718090057373, -7.8379292488098145, -2.2317581176757812]"
JVASP-60391,[0.0],"[2.1820878982543945, 2.447563886642456, -6.045677185058594, -3.8539233207702637]"
JVASP-76349,[0.0],"[0.12078535556793213, 0.1844719648361206, -4.5898118019104, -4.453907489776611]"
JVASP-76613,[4.067999839782715],"[5.3726959228515625, 5.444637775421143, -8.227123260498047, -2.850935459136963]"
JVASP-60392,[0.7739999890327454],"[2.2011685371398926, 2.3055875301361084, -6.583188533782959, -4.380555629730225]"
JVASP-76350,[0.03900003433227539],"[0.9166265726089478, 1.0909563302993774, -4.571297645568848, -3.6640753746032715]"
JVASP-76619,[3.6459999084472656],"[4.898089408874512, 5.102206230163574, -7.303569793701172, -2.3991665840148926]"
JVASP-6766,[0.0],"[0.4688704013824463, 0.6424862146377563, -5.84798526763916, -5.304574012756348]"
JVASP-76353,[1.3350000381469727],"[3.0568466186523438, 3.176464557647705, -7.73183536529541, -4.680510997772217]"
JVASP-76621,[1.2489999532699585],"[1.8118088245391846, 1.8240845203399658, -5.370016098022461, -3.556701898574829]"
JVASP-76355,[2.3559999465942383],"[3.613332748413086, 3.5947787761688232, -7.605712890625, -3.9919850826263428]"
JVASP-60482,[0.0],"[0.296799898147583, 0.4724884033203125, -5.076033592224121, -4.760415077209473]"
JVASP-60296,[0.0],"[0.3741692304611206, 0.4619401693344116, -4.315725326538086, -3.9042065143585205]"
JVASP-76622,[0.0],"[0.02890002727508545, 0.034882307052612305, -4.952578544616699, -4.872389793395996]"
JVASP-76360,[0.0],"[0.09229707717895508, 0.15244412422180176, -4.756094455718994, -4.627391815185547]"
JVASP-13600,[0.0],"[3.5678019523620605, 3.6231911182403564, -7.315380096435547, -3.743373394012451]"
JVASP-76628,[2.6359996795654297],"[3.837970733642578, 4.8011651039123535, -9.809844970703125, -5.980323791503906]"
JVASP-76377,[0.5239999890327454],"[0.73537278175354, 0.8888782262802124, -4.717331886291504, -3.9926674365997314]"
JVASP-76634,[4.803999900817871],"[5.754311561584473, 6.0205397605896, -7.91574239730835, -2.1679632663726807]"
JVASP-76637,[0.2990000247955322],"[2.762840747833252, 2.844750165939331, -7.525218486785889, -4.749883651733398]"
JVASP-655,[0.0],"[0.02888810634613037, 0.03487396240234375, -4.952570915222168, -4.872435569763184]"
JVASP-670,[1.2289999723434448],"[1.3875346183776855, 1.3846912384033203, -4.897031784057617, -3.4991769790649414]"
JVASP-9011,[0.7829999923706055],"[1.3904871940612793, 1.4307458400726318, -5.328881740570068, -3.9297571182250977]"
JVASP-6892,[0.0],"[-0.0006692409515380859, 0.0010592937469482422, -4.290998458862305, -4.237795829772949]"
JVASP-14419,[0.0],"[0.410449743270874, 0.45825445652008057, -4.968670845031738, -4.448309898376465]"
JVASP-5944,[2.450000047683716],"[3.050652265548706, 3.125826358795166, -6.761005401611328, -3.704693078994751]"
JVASP-7039,[0.0],"[0.038367271423339844, 0.06128382682800293, -5.05250358581543, -4.913527488708496]"
JVASP-60545,[4.455999851226807],"[6.151218414306641, 6.270522117614746, -7.976073265075684, -1.8134369850158691]"
JVASP-8933,[0.0],"[1.0250144004821777, 1.07766854763031, -6.010941505432129, -4.873304843902588]"
JVASP-9056,[0.0],"[0.6228724718093872, 0.679236888885498, -4.495788097381592, -3.8042569160461426]"
JVASP-60396,[0.0],"[0.16294443607330322, 0.19551575183868408, -4.97063684463501, -4.7617363929748535]"
JVASP-76387,[0.0],"[0.01796424388885498, 0.018151521682739258, -4.489768028259277, -4.406570911407471]"
JVASP-6874,[0.0],"[0.013177037239074707, 0.017165184020996094, -4.479706764221191, -4.408053874969482]"
JVASP-5974,[0.0],"[0.017202138900756836, 0.024394750595092773, -4.581135272979736, -4.559752464294434]"
JVASP-6838,[1.4830000400543213],"[1.8432881832122803, 1.9746040105819702, -5.557809352874756, -3.6994102001190186]"
JVASP-6298,[0.9089999794960022],"[0.4809640645980835, 0.6709854602813721, -5.613845348358154, -5.131779193878174]"
JVASP-6841,[0.6600000262260437],"[1.4525048732757568, 2.05364990234375, -6.286487579345703, -4.831705570220947]"
JVASP-76528,[0.3230000138282776],"[0.8641202449798584, 1.028100848197937, -5.121545314788818, -4.2551116943359375]"
JVASP-13576,[0.0],"[0.17152702808380127, 0.175803542137146, -4.8479766845703125, -4.549962043762207]"
JVASP-76640,[4.665999889373779],"[6.157690048217773, 6.411039352416992, -8.228377342224121, -2.075593948364258]"
JVASP-76389,[0.0],"[0.07903897762298584, 0.15665173530578613, -5.000248908996582, -4.927637100219727]"
JVASP-19517,[0.0],"[0.14340627193450928, 0.17184126377105713, -4.7016167640686035, -4.475963592529297]"
JVASP-76648,[0.0],"[0.519874095916748, 0.5955737829208374, -6.663033485412598, -5.938863277435303]"
JVASP-60402,[4.420000076293945],"[5.8648529052734375, 6.174045562744141, -8.259832382202148, -2.400555372238159]"
JVASP-5899,[0.0],"[0.06415128707885742, 0.12742829322814941, -4.8676605224609375, -4.772910118103027]"
JVASP-76390,[2.4689998626708984],"[3.894641637802124, 4.118471145629883, -9.339595794677734, -5.442983627319336]"
JVASP-76649,[4.383999347686768],"[5.608081817626953, 6.056889057159424, -6.632541179656982, -1.0303471088409424]"
JVASP-60548,[1.2999999523162842],"[1.4417698383331299, 1.6484055519104004, -6.041252613067627, -4.5992112159729]"
JVASP-60300,[3.0209999084472656],"[3.704643726348877, 3.7111992835998535, -7.632420539855957, -3.926021099090576]"
JVASP-76412,[0.0],"[1.9252921342849731, 2.0035512447357178, -5.513442516326904, -3.5434343814849854]"
JVASP-6664,[0.0],"[0.04541921615600586, 0.07497882843017578, -4.598941802978516, -4.510664463043213]"
JVASP-76651,[0.0],"[0.09450089931488037, 0.15500926971435547, -5.68784236907959, -5.588310241699219]"
JVASP-76414,[0.0],"[0.5195121765136719, 0.595138669013977, -6.662883758544922, -5.9388322830200195]"
JVASP-76652,[0.0],"[0.08802616596221924, 0.12445330619812012, -5.232707977294922, -5.129708290100098]"
JVASP-76415,[1.718000054359436],"[1.195296287536621, 1.2420849800109863, -6.3434247970581055, -5.145028114318848]"
JVASP-76659,[1.1059999465942383],"[1.2518746852874756, 1.412588119506836, -4.902421474456787, -3.6541786193847656]"
JVASP-5902,[2.625],"[5.121747016906738, 5.337025165557861, -9.464289665222168, -4.336073875427246]"
JVASP-76416,[0.0],"[0.052019596099853516, 0.09591960906982422, -4.411090850830078, -4.3608903884887695]"
JVASP-76667,[1.4019999504089355],"[1.9645733833312988, 1.977050542831421, -5.6494011878967285, -3.674346446990967]"
JVASP-76417,[0.0],"[0.20504093170166016, 0.35762810707092285, -5.2752203941345215, -5.051084518432617]"
JVASP-60301,[1.9880000352859497],"[2.676539659500122, 2.7027077674865723, -6.243706703186035, -3.55507230758667]"
JVASP-60305,[0.0],"[0.0922555923461914, 0.15238189697265625, -4.756034851074219, -4.627370834350586]"
JVASP-76418,[4.206999778747559],"[5.699064254760742, 5.824978828430176, -7.671781539916992, -1.968111276626587]"
JVASP-60241,[3.986999988555908],"[5.225287437438965, 5.265562057495117, -7.577251434326172, -2.342799663543701]"
JVASP-6250,[4.764999866485596],"[5.626576900482178, 5.887546539306641, -7.576941967010498, -1.9614934921264648]"
JVASP-75094,[0.0],"[0.06176912784576416, 0.06676220893859863, -4.325446128845215, -4.187604904174805]"
JVASP-76420,[0.5590000152587891],"[1.020151138305664, 1.4740935564041138, -5.026747226715088, -4.007835388183594]"
JVASP-75097,[0.0],"[0.21919286251068115, 0.3889484405517578, -5.000972270965576, -4.724400997161865]"
JVASP-75194,[2.700000047683716],"[3.676187515258789, 3.9014668464660645, -6.4829421043396, -2.7989883422851562]"
JVASP-75099,[0.9779999852180481],"[1.4915869235992432, 1.6985033750534058, -6.5202412605285645, -4.991009712219238]"
JVASP-75198,[3.003999948501587],"[4.452398777008057, 4.484966278076172, -6.1318230628967285, -1.6684916019439697]"
JVASP-75107,[2.2850000858306885],"[4.444996356964111, 4.484262466430664, -5.841424465179443, -1.3890600204467773]"
JVASP-60403,[1.9190000295639038],"[3.175581693649292, 3.303640604019165, -6.280180931091309, -3.1027698516845703]"
JVASP-75203,[2.2190001010894775],"[3.3289995193481445, 3.55844783782959, -7.765888214111328, -4.437135696411133]"
JVASP-75113,[0.0],"[0.1274627447128296, 0.11933660507202148, -4.9906907081604, -4.804811000823975]"
JVASP-75204,[0.0],"[0.8375688791275024, 0.945311427116394, -4.759284973144531, -3.850550651550293]"
JVASP-76440,[2.0980000495910645],"[2.3303513526916504, 2.618783712387085, -6.840330123901367, -4.509818077087402]"
JVASP-75319,[0.5360000133514404],"[3.526602029800415, 3.7134528160095215, -5.4885358810424805, -1.9608306884765625]"
JVASP-75119,[0.0],"[0.10192704200744629, 0.10756230354309082, -4.839808464050293, -4.684858798980713]"
JVASP-13527,[3.8470001220703125],"[4.5036845207214355, 4.738945007324219, -6.567026138305664, -2.066399097442627]"
JVASP-75042,[0.0],"[0.04667234420776367, 0.04208040237426758, -4.6247406005859375, -4.5008320808410645]"
JVASP-75320,[0.10599994659423828],"[1.6455063819885254, 1.7144477367401123, -7.375617980957031, -5.720589637756348]"
JVASP-6454,[3.015000104904175],"[4.569042205810547, 4.637816429138184, -7.469120025634766, -2.8951876163482666]"
JVASP-75120,[0.294999897480011],"[0.5720657110214233, 0.7470626831054688, -5.011725902557373, -4.4467291831970215]"
JVASP-75043,[0.0],"[0.19702768325805664, 0.2284184694290161, -5.037275314331055, -4.7314581871032715]"
JVASP-75044,[0.0],"[0.11811339855194092, 0.1634995937347412, -5.503323554992676, -5.323723793029785]"
JVASP-75327,[0.019999980926513672],"[3.5249838829040527, 3.4669666290283203, -7.478991508483887, -3.923300266265869]"
JVASP-75209,[0.6740000247955322],"[1.945106863975525, 2.0515267848968506, -5.292761325836182, -3.322035312652588]"
JVASP-75124,[2.427999973297119],"[5.721429824829102, 5.763376235961914, -6.911233901977539, -1.177912712097168]"
JVASP-60308,[3.998000144958496],"[5.163602352142334, 5.323362350463867, -7.032272815704346, -1.8653123378753662]"
JVASP-75047,[0.0],"[0.4103602170944214, 0.727157711982727, -4.390440940856934, -3.885352849960327]"
JVASP-75214,[0.0],"[0.05008995532989502, 0.08547043800354004, -4.572333812713623, -4.49706506729126]"
JVASP-76444,[0.4049999713897705],"[0.8171429634094238, 1.453850507736206, -4.9509968757629395, -4.138479232788086]"
JVASP-60315,[0.0],"[0.020224571228027344, 0.029570341110229492, -4.545465469360352, -4.519626140594482]"
JVASP-75048,[0.4570000171661377],"[0.9672573804855347, 1.166517734527588, -6.133904933929443, -5.149571418762207]"
JVASP-60407,[0.0],"[0.026389122009277344, 0.07010030746459961, -5.186408042907715, -5.144439220428467]"
JVASP-75125,[0.3179999589920044],"[0.7412488460540771, 0.9131509065628052, -4.703272819519043, -3.971283197402954]"
JVASP-75215,[2.1600000858306885],"[3.069347381591797, 3.0741970539093018, -6.553514003753662, -3.4906375408172607]"
JVASP-75050,[0.0],"[0.0480118989944458, 0.04988360404968262, -4.215263366699219, -4.125274658203125]"
JVASP-75132,[2.0969998836517334],"[2.762739896774292, 2.7867355346679688, -6.8784332275390625, -4.114268779754639]"
JVASP-75218,[0.8920000195503235],"[2.1083364486694336, 2.2308168411254883, -7.65893030166626, -5.550684452056885]"
JVASP-75331,[0.6790000200271606],"[3.694298505783081, 3.745499610900879, -6.70787239074707, -3.001160144805908]"
JVASP-75051,[0.0],"[0.027700424194335938, 0.037763118743896484, -4.30368709564209, -4.258033752441406]"
JVASP-75052,[0.0],"[0.39888226985931396, 0.4708065986633301, -5.008446216583252, -4.546609401702881]"
JVASP-75346,[2.0510001182556152],"[3.594909429550171, 3.960751533508301, -6.241648197174072, -2.634964942932129]"
JVASP-75219,[2.921999931335449],"[3.7243828773498535, 3.813389778137207, -6.711866855621338, -2.991896629333496]"
JVASP-60413,[0.0],"[0.1435389518737793, 0.20604658126831055, -4.703307151794434, -4.514316082000732]"
JVASP-75054,[0.0],"[0.08097290992736816, 0.16298401355743408, -5.202770709991455, -5.0972514152526855]"
JVASP-75350,[1.7289999723434448],"[5.711963653564453, 5.709718704223633, -9.675579071044922, -3.9488332271575928]"
JVASP-75220,[5.5929999351501465],"[6.754970073699951, 6.801905632019043, -9.514020919799805, -2.7792272567749023]"
JVASP-75057,[1.312000036239624],"[1.1778427362442017, 1.156880259513855, -4.570343017578125, -3.39792799949646]"
JVASP-60416,[0.0],"[0.4949542284011841, 0.6901144981384277, -5.356074333190918, -4.8463521003723145]"
JVASP-75357,[0.46000003814697266],"[0.5297383069992065, 0.7654992341995239, -5.752757549285889, -5.131636619567871]"
JVASP-76457,[4.420000076293945],"[5.864851951599121, 6.174045562744141, -8.259832382202148, -2.400555372238159]"
JVASP-75134,[0.36000001430511475],"[1.6129646301269531, 1.6171684265136719, -5.774738311767578, -4.147058010101318]"
JVASP-75221,[0.47200000286102295],"[1.5717120170593262, 1.675447940826416, -6.200218677520752, -4.635478973388672]"
JVASP-75058,[7.314000129699707],"[8.417959213256836, 8.764437675476074, -9.532480239868164, -1.0975878238677979]"
JVASP-75361,[0.24800002574920654],"[0.01826632022857666, 0.02211594581604004, -5.162562847137451, -5.16518497467041]"
JVASP-75135,[0.890999972820282],"[1.6309669017791748, 1.7508232593536377, -6.316667079925537, -4.688812732696533]"
JVASP-75222,[0.4509999752044678],"[0.9590520858764648, 1.0884329080581665, -5.642546653747559, -4.6866655349731445]"
JVASP-75061,[0.05299997329711914],"[2.5735297203063965, 2.772120714187622, -6.358034133911133, -3.7843852043151855]"
JVASP-75366,[0.03600001335144043],"[0.022624731063842773, 0.055260658264160156, -4.849893569946289, -4.831619739532471]"
JVASP-75137,[1.465000033378601],"[2.0161523818969727, 1.996311068534851, -5.457038879394531, -3.4358272552490234]"
JVASP-75223,[0.0],"[0.0575178861618042, 0.08343625068664551, -5.061062812805176, -5.0030198097229]"
JVASP-75063,[0.0],"[0.12800610065460205, 0.1663501262664795, -4.743958473205566, -4.569943904876709]"
JVASP-75224,[0.0],"[0.03275489807128906, 0.03636646270751953, -6.165652751922607, -6.077956199645996]"
JVASP-75372,[4.261000156402588],"[5.743258476257324, 5.789823532104492, -7.656773090362549, -1.8977627754211426]"
JVASP-75138,[1.1690000295639038],"[2.229840040206909, 2.480478525161743, -6.350061893463135, -4.110296249389648]"
JVASP-75225,[0.0],"[0.003937482833862305, 0.026648998260498047, -4.350232124328613, -4.350398063659668]"
JVASP-75375,[2.747999668121338],"[3.6302833557128906, 4.11439323425293, -7.318206787109375, -3.6887013912200928]"
JVASP-76462,[0.0],"[0.026389122009277344, 0.07010030746459961, -5.186408042907715, -5.144439220428467]"
JVASP-75231,[0.0],"[0.1626957654953003, 0.21403777599334717, -5.318065643310547, -5.024929046630859]"
JVASP-27906,[0.5839999914169312],"[2.998830556869507, 3.073668956756592, -7.042374610900879, -4.061752796173096]"
JVASP-75140,[4.105000019073486],"[5.477382183074951, 5.588868618011475, -6.781581878662109, -1.3040876388549805]"
JVASP-75378,[0.0],"[0.025941967964172363, 0.027512311935424805, -4.673587322235107, -4.591684341430664]"
JVASP-75253,[0.0],"[0.884272575378418, 1.0032949447631836, -4.696737289428711, -3.7482285499572754]"
JVASP-75379,[0.0],"[0.5929248332977295, 0.7898958921432495, -5.24653959274292, -4.629114627838135]"
JVASP-75065,[0.6489999890327454],"[2.252788782119751, 2.1953587532043457, -8.556187629699707, -6.282565116882324]"
JVASP-75254,[1.0820000171661377],"[2.406308889389038, 2.4049460887908936, -5.672601222991943, -3.2612357139587402]"
JVASP-75066,[0.0],"[0.19408941268920898, 0.26325035095214844, -5.625284194946289, -5.34289026260376]"
JVASP-6805,[0.0],"[0.05369770526885986, 0.062299489974975586, -4.526130676269531, -4.411255359649658]"
JVASP-75069,[3.140000343322754],"[4.769116401672363, 5.146284580230713, -9.604296684265137, -4.8124895095825195]"
JVASP-75141,[0.0],"[0.0299760103225708, 0.06228303909301758, -4.475829124450684, -4.426244735717773]"
JVASP-75257,[3.059000015258789],"[5.242849349975586, 5.305646896362305, -6.783824443817139, -1.5288851261138916]"
JVASP-75071,[0.0],"[0.023807525634765625, 0.017229795455932617, -4.404985427856445, -4.362827777862549]"
JVASP-75380,[2.7130000591278076],"[3.253450870513916, 3.496161460876465, -7.337498188018799, -4.089665412902832]"
JVASP-75072,[0.0],"[0.009413957595825195, 0.0066318511962890625, -4.259520530700684, -4.248970031738281]"
JVASP-76468,[0.0],"[0.14329731464385986, 0.20577502250671387, -4.702686786651611, -4.513884544372559]"
JVASP-75146,[2.0399999618530273],"[3.0928850173950195, 3.1969239711761475, -7.580711841583252, -4.481820106506348]"
JVASP-75381,[0.8370000123977661],"[2.159088611602783, 2.393237352371216, -8.387242317199707, -6.239466667175293]"
JVASP-75148,[2.181999921798706],"[3.161513328552246, 3.5666656494140625, -6.8167572021484375, -3.659917116165161]"
JVASP-75258,[3.0959999561309814],"[5.404962539672852, 5.463484764099121, -6.86620569229126, -1.4489502906799316]"
JVASP-75151,[0.828000009059906],"[0.49182045459747314, 0.6250976324081421, -5.205738544464111, -4.736103057861328]"
JVASP-75265,[0.4919999837875366],"[2.1137032508850098, 2.128049850463867, -6.068904399871826, -3.949472427368164]"
JVASP-75076,[0.0],"[0.03391575813293457, 0.08976936340332031, -4.454866886138916, -4.391058921813965]"
JVASP-75153,[3.516000270843506],"[5.124756813049316, 5.14815616607666, -7.814724922180176, -2.68227481842041]"
JVASP-75382,[1.4559999704360962],"[2.504772901535034, 2.855578660964966, -7.71333122253418, -5.21143913269043]"
JVASP-75077,[0.0],"[0.12351775169372559, 0.15915417671203613, -4.840093612670898, -4.647439002990723]"
JVASP-75269,[1.3009999990463257],"[3.4314165115356445, 3.627826690673828, -8.851720809936523, -5.431502342224121]"
JVASP-75154,[3.373000144958496],"[5.192265510559082, 5.263348579406738, -8.88254451751709, -3.687373399734497]"
JVASP-76471,[0.0],"[0.4949542284011841, 0.6901144981384277, -5.356074333190918, -4.8463521003723145]"
JVASP-75078,[2.2360000610351562],"[2.941281795501709, 2.9519553184509277, -6.104462146759033, -3.156035900115967]"
JVASP-75282,[2.2760000228881836],"[2.7354846000671387, 3.0279653072357178, -6.770881652832031, -4.048224925994873]"
JVASP-6097,[0.0],"[0.27637970447540283, 0.35210371017456055, -5.670103549957275, -5.369091987609863]"
JVASP-60242,[1.8079999685287476],"[2.467886447906494, 2.4737019538879395, -5.914952278137207, -3.4308018684387207]"
JVASP-75155,[3.438000202178955],"[4.70530366897583, 4.751904487609863, -9.049131393432617, -4.344705104827881]"
JVASP-75284,[0.0],"[0.09305131435394287, 0.1365659236907959, -5.493343830108643, -5.353793621063232]"
JVASP-75083,[1.5809999704360962],"[3.882322072982788, 4.281425952911377, -8.89986515045166, -5.013692378997803]"
JVASP-75159,[0.0],"[1.4248496294021606, 1.6096704006195068, -6.56109094619751, -5.091236591339111]"
JVASP-75285,[2.822000026702881],"[4.202395915985107, 4.325613975524902, -7.002532005310059, -2.797565460205078]"
JVASP-60243,[0.0],"[0.026412248611450195, 0.0701444149017334, -5.186479091644287, -5.144445419311523]"
JVASP-75084,[1.9529998302459717],"[2.7351770401000977, 2.836355686187744, -7.248776435852051, -4.517850399017334]"
JVASP-60483,[0.0],"[0.01872706413269043, 0.04121041297912598, -4.286260604858398, -4.260918140411377]"
JVASP-75085,[0.0],"[0.008330941200256348, 0.03737807273864746, -4.455160140991211, -4.437525749206543]"
JVASP-75385,[0.023000001907348633],"[0.5348496437072754, 0.6721490621566772, -4.881714344024658, -4.326406955718994]"
JVASP-76498,[1.7039999961853027],"[3.1164331436157227, 3.211820125579834, -7.475788116455078, -4.365076065063477]"
JVASP-75086,[0.0],"[0.07124602794647217, 0.10827159881591797, -4.690764427185059, -4.567370891571045]"
JVASP-75164,[3.1550002098083496],"[4.016219139099121, 4.1078643798828125, -7.939969062805176, -3.9236860275268555]"
JVASP-75088,[0.0140000581741333],"[0.8563910722732544, 0.9268029928207397, -5.046494483947754, -4.0844807624816895]"
JVASP-75089,[0.8619999885559082],"[1.6969568729400635, 1.850064754486084, -6.045626163482666, -4.35152530670166]"
JVASP-75387,[0.546999990940094],"[1.47715425491333, 1.665050745010376, -7.087490558624268, -5.616066932678223]"
JVASP-75389,[0.8140000104904175],"[2.1091012954711914, 2.2537996768951416, -6.882468223571777, -4.775686740875244]"
JVASP-75391,[1.5499999523162842],"[2.526472806930542, 2.621002197265625, -5.900660991668701, -3.369845390319824]"
JVASP-76505,[0.8920000195503235],"[1.180030345916748, 1.4010868072509766, -5.405706882476807, -4.22143030166626]"
JVASP-75165,[1.4739999771118164],"[2.0856244564056396, 2.1133484840393066, -5.514768123626709, -3.4085230827331543]"
JVASP-75287,[1.938999891281128],"[3.724626064300537, 3.9224252700805664, -6.72241735458374, -2.9877567291259766]"
JVASP-75393,[2.138000011444092],"[2.798006296157837, 3.1556947231292725, -5.906774044036865, -3.1137900352478027]"
JVASP-75167,[1.3480000495910645],"[2.6023707389831543, 2.9223132133483887, -7.381514549255371, -4.775232315063477]"
JVASP-75397,[3.5430002212524414],"[4.920901775360107, 4.99112606048584, -7.543921947479248, -2.630617618560791]"
JVASP-75290,[2.190999984741211],"[3.646329879760742, 3.944018602371216, -6.0843281745910645, -2.4302797317504883]"
JVASP-75174,[2.9699997901916504],"[4.336179733276367, 4.424045562744141, -6.051281452178955, -1.7029547691345215]"
JVASP-75400,[0.0],"[0.4439026117324829, 0.41992783546447754, -5.597957134246826, -5.041990280151367]"
JVASP-75292,[0.0],"[0.6093447208404541, 0.7249704599380493, -4.66105318069458, -3.725728750228882]"
JVASP-60244,[0.0],"[0.0013065338134765625, -0.003998517990112305, -4.626777648925781, -4.644867420196533]"
JVASP-14443,[3.379000186920166],"[4.765566825866699, 5.20773983001709, -7.6812262535095215, -2.9126977920532227]"
JVASP-75175,[0.6420000195503235],"[1.4952638149261475, 1.5311169624328613, -6.449678421020508, -4.957080841064453]"
JVASP-76507,[1.8660000562667847],"[2.422609329223633, 2.486598253250122, -6.2504048347473145, -3.813192129135132]"
JVASP-75293,[3.257999897003174],"[4.437971591949463, 4.498817443847656, -6.358832836151123, -1.9183356761932373]"
JVASP-75178,[1.3300000429153442],"[2.0795364379882812, 2.288858413696289, -6.898092269897461, -4.818263053894043]"
JVASP-75403,[1.9240000247955322],"[3.238086223602295, 3.4346203804016113, -6.789190769195557, -3.54962420463562]"
JVASP-68932,[0.039999961853027344],"[0.08392167091369629, 0.07293200492858887, -5.60860538482666, -5.530243396759033]"
JVASP-75413,[0.0],"[0.12034785747528076, 0.15274906158447266, -4.609655380249023, -4.433566570281982]"
JVASP-75185,[1.1679999828338623],"[2.164729356765747, 2.22135066986084, -6.9707794189453125, -4.8090500831604]"
JVASP-75296,[1.8839998245239258],"[3.1082217693328857, 3.2802538871765137, -6.9235334396362305, -3.8211026191711426]"
